时装豪礼,Hào Lễ Thời Trang
技能·佛光冲霄,Kỹ Năng·Phật Quang Xung Tiêu
提升主人1000点韧性,Tăng cho chủ nhân 1000 Dẻo
闯荡天下（四）,Hành Tẩu Giang Hồ 4
增加敖丙变身时间3秒,Tăng thời gian biến thân Ngao Bính 3s
开启后可全部获得以下物品：,Sau khi mở nhận hết vật phẩm sau:
仙器套装石,Đá Bộ Tiên Khí
受到的伤害减少28%，防御提高28%，持续10秒,"Sát thương nhận vào giảm 28%, Thủ tăng 28%, liên tục 10s"
九州V少輝,Giang Nam
后降为$1星,Sau giảm thành $1 sao
"受到攻击时,若自己的生命值低于10%,且对方生命值高于自己,则有2%概率与攻击者互换生命值（百分比）,互换后自己额外获得10%生命值,半小时内只能触发一次.盛放耶稣血液的圣杯,喝下其盛过的水就将返老还童、死而复生并且获得永生.","Khi bị tấn công, nếu điểm HP của mình dưới 10%, và điểm HP của đối phương cao hơn mình, thì có 2% tỉ lệ đổi điểm HP với kẻ tấn công (%), sau khi đổi mình sẽ nhận thêm 10% điểm HP, trong nửa h chỉ được kích phát 1 lượt."
玄武变身后，攻击时无视目标防御60%,"Sau khi biến thân Huyền Vũ, khi tấn công bỏ qua thủ của mục tiêu 60%"
恭喜<color=#00CCFF>$1阵营</color>已击败$2级阵营BOSS，奖励已上架拍卖行，快来参与拍卖吧！,"Chúc mừng <color=#00CCFF>$1Trận Doanh</color> đã đánh bại BOSS Trận Doanh cấp $2, thưởng đã lên kệ đấu giá, mau đi đấu giá!"
"幸运座驾,小锦鲤","Tọa Giá May Mắn, Cá Koi Nhỏ"
红包已过期！,Lì xì đã hết hạn!
今日献礼次数已用完，请明日再来,"Số lượt Tặng Quà hôm nay đã dùng hết, ngày mai hãy đến nhé"
神龙圣印 222级,Thần Long Thánh Ấn Cấp 222
神兽凝视,Thần Thú Ngưng Thị
主线59,N.Vụ Chính 59
DOD樂章,Nguyên Giáp
锦鲤本鲤,Người Mang May Mắn
吸收生命值上限20%的伤害，持续5秒,Hút sát thương bằng 20% điểm giới hạn HP. Liên tục 5s
"该角色已被禁止登录,请联系GM管理员","Nhân vật này đã bị cấm đăng nhập, vui lòng liên hệ nhân viên quản lý GM"
萌娃·秀儿,Tiên Oa·Tú Nhi
神龙圣印 93级,Thần Long Thánh Ấn Cấp 93
激活穿戴后可为神兽增加属性\n<color=#00c000>【属性加成】</color>\n战力 +6000\n生命 +4000\n攻击 +200\n破甲 +100\n防御 +100\n\n<color=#00c000>附加特效</color>：激活后，本变身状态下伤害加深提升5%,"Mặc sau khi kích hoạt sẽ tăng thuộc tính Thần Thú\n<color=#00c000>【Thuộc tính】</color>\nChiến lực +6000\nHP +4000\nCông +200\nPhá giáp +100\nThủ +100\n\n<color=#00c000>Hiệu ứng thêm</color>: Sau khi kích hoạt, s.thg sâu tăng 5%"
以下是您在开服大礼-每日累充活动中未领取的奖励，请查收：,"Dưới đây là thưởng bạn chưa nhận trong hoạt động Đại Lễ Mở Server-Tích Nạp Hàng Ngày, hãy đến nhận:"
7阶BOSS经验丹,7 Giai BOSS EXP Đan
特技·枯竭,Đặc Kỹ·Khô Kiệt
$1或经验不足，,"$1 hoặc EXP không đủ,"
锁妖塔第126层,Tỏa Yêu Tháp Tầng 126
灵能魂石 珍,Linh Năng Hồn Thạch-Trân
5阶橙色品质装备,5 Giai Cam Trang Bị
五行火凤令,Ngũ Hành Hỏa Phượng Lệnh
橙色花撵礼盒（一）,Rương Hoa Niện Cam 1
<color=#00781f>战场击杀榜</color>,<color=#00781f>Bảng Kích Sát Chiến Trường</color>
烈火护腕·珍,Liệt Hỏa Oản·Trân
机械暴龙,Bạo Long
减少技能伤害40%,S.Thg Kỹ Năng giảm 40%
FFD敬仰,Quốc Huy
1.1件通用职业<color=#ff3b3b>14阶圣装戒指</color>+<color=#ff3b3b>太极神玉·戒*2、混元圣石*4、无极圣玉·戒*3</color>可合成,"1. 1 món <color=#ff3b3b>14 Giai Thánh Trang Giới</color> nghề thông dụng+<color=#ff3b3b>Thái Cực Thần Ngọc·Giới*2, Hỗn Nguyên Thánh Thạch*4, Vô Cực Thánh Ngọc·Giới*3</color> có thể hợp thành"
元素免疫效果，可以免疫该元素属性的伤害，持续7秒，冷却时间60秒,"Hiệu quả miễn dịch nguyên tố, có thể miễn dịch sát thương của thuộc tính nguyên tố này. Liên tục 7s, thời gian CD 60s"
<color=#FF8C00>获取途径：</color>\n<color=#03CCFF>【妖魔入侵掉落】</color>,<color=#FF8C00>Cách nhận: </color>\n<color=#03CCFF>【Yêu Ma Xâm Lược rơi】</color>
二级水防御石,(Thủy)Phòng Ngự Thạch Lv.2
扇仙君,Phiến Tiên Quân
碧玉手镯,Bích NgọcTrạc
地狱天堂,Địa Ngục Thiên Đường
有100%几率使目标眩晕1秒,Có 100% tỉ lệ khiến mục tiêu choáng 1s
侠义商店,Tiệm Hiệp Nghĩa
时装未激活,Chưa kích hoạt thời trang
把周围化为刀刃地狱，攻击周围4个怪物或1个玩家，造成少量伤害,"Tấn công 4 quái vật hoặc 1 người chơi xung quanh, gây ra ít sát thương"
顶级妖灵,Yêu Linh-Đỉnh
时装·橘夏清凉,Thời Trang·Quất Hạ Thanh Lương
宵月丨獨行,Ðức Tâm
碎神融血,Tôi Thần Dung Huyết
眾神團子,Ðức Kiên
仙境·璇霄丹台,Tiên Cảnh·Toàn Tiêu Đơn Đài
神王试炼(四十九),Thí Luyện Thần Vương 49
攻击时有2%概率对100米内的目标附加1层“死亡印记”效果：15秒后死亡(冷却时间30分钟)，攻击时还有概率向目标施加2层“生命流逝”效果，每层每秒扣除：1%生命值。生死簿直接控制人的生死，一旦被定下死期，即便是大罗金仙也难逃一死，,"Khi tấn công có 2% tỉ lệ với mục tiêu trong 100 mét kèm 1 tầng hiệu quả ""Tử Vong Ấn Ký"": Sau 15s tử vong (CD 30ph), khi tấn công còn có tỉ lệ thi triển 2 tầng hiệu quả ""Sinh Mệnh Lưu Thệ"" với mục tiêu, mỗi tầng mỗi giây bị trừ 1% điểm HP. Khống chế sinh tử của con người,"
称号·九虚圣尊,Danh Hiệu·Cửu Hư Thánh Tôn
【法器】提升人物：\n生命+2932\n攻击+146\n防御+73\n破甲+73\n基础生命+2%,【Pháp Khí】Nhân vật tăng: \nHP +2932\nCông +146\nThủ +73\nPhá giáp +73\nHP C.Bản +2%
"恭喜玩家<a href=player,$1,$2>[$1]</a>已集齐所有道具，获得<color=#FF3B3B>神兽雷震子</color>！","Chúc mừng <a href=player,$1,$2>[$1]</a> đã đủ tất cả đạo cụ, nhận <color=#FF3B3B>Thần Thú Lôi Chấn Tử</color>!"
唐朝監察使,Ánh Hoa
提升人物内功防御属性14%，额外附加7000点内功防御,"Thuộc tính Thủ nội công nhân vật tăng 14%, tăng thêm 7000 Thủ nội công"
骨肉亲离恨难填，宿世冤仇语不休。,"Cốt nhục thân li hận nan điền, túc thế oan thù ngữ bất hưu."
你好，亲爱的玩家：\n这是您在奇境觅宝活动中未领取的奖励，请查收,"Xin chào, người chơi thân mến: \n Đây là thưởng bạn chưa nhận trong Hoạt Động Kỳ Cảnh Mịch Bảo, hãy đến nhận"
扶摇仙宫浮华梦,Phù dao tiên cung phù hoa mộng
"{""账号为空""}","{""Tài khoản trống""}"
裂云,Liệt Vân
镇山红装·良,Trấn Sơn (Đỏ)·Lương
生命低于20%时，受到攻击时有10%的概率回复自身4.25%的生命，冷却20秒,"Khi HP dưới 20%, khi bị tấn công có 10% tỉ lệ hồi cho mình 4.25% HP, CD 20s"
当前质量【$1】\n当前装备属性\n$2,Chất lượng hiện tại【$1】\nThuộc tính Trang Bị hiện tại\n$2
鎏璃变身后，伤害减免22%,"Sau khi biến thân Lưu Li, giảm sát thương 22%"
增加10%+650000的生命上限，持续10秒，每5分钟触发一次,"Tăng 10%+650000 giới hạn HP, liên tục 10s, cứ 5ph kích phát 1 lượt"
您的对手数量已达上限,Số lượng đối thủ của bạn đã đạt giới hạn
合成1件两星红装,Hợp thành 1 Trang Bị 2 Sao
价值588800,Giá trị 588800
坐骑被动天赋升级材料\n效果：<color=#49f912>加深坐骑对秘术·金属律动的领悟程度，提升被动加成效果。</color>\n\n每次升级效果：<color=#49f912>\n战力+1700\n防御+140\n附加减伤+30\n重击抵抗+0.0005\n坐骑总属性加成+1%</color>,"Nguyên liệu thăng cấp Thiên Phú Bị Động Tọa Kỵ\nHiệu quả: <color=#49f912>Tăng mức lĩnh ngộ của Tọa Kỵ với Bí Thuật·Kim Thuộc Luật Động, tăng hiệu quả bị động.</color>\n\nHiệu quả tăng mỗi cấp: <color=#49f912>\nChiến lực +1700\nThủ +140\nTăng Giảm S.Thg +30\nKháng Trọng Kích +0. 0005\nTăng tổng thuộc tính Tọa Kỵ +1%</color>"
三头灵图,Tam Đầu Linh Đồ
魔女的南瓜杖,Trượng Bí Ngô Ma Nữ
蚂蚱守护Lv.2,Mã Trách Thủ Hộ Lv.2
神魂进阶道具,Đạo cụ tiến giới Thần Hồn
神龙圣印 187级,Thần Long Thánh Ấn Cấp 187
反弹伤害减免,Giảm Miễn Sát Thương Phản Đòn
暗香盈袖,Ám Hương Doanh Tụ
祥云幻境阵,Tường Vân Huyễn Cảnh Trận
<color=#FFFFFF>神机状态下，召唤108个佛陀护体:</color><color=#EAE3CB>\n<color=#00ff00>效果1：自身100%的概率无视所有伤害</color>\n效果2：攻击+100000点\n<color=#00ff00>效果3：固定伤害+100000点</color>\n</color><b><color=#FFD85D>每日限定：持续10秒，每天可用10次</color></b>,"<color=#FFFFFF>Trong trạng thái Thần Cơ, Triệu hoán 108 Phật Đà Hộ Thể:</color><color=#EAE3CB>\n<color=#00ff00>Hiệu quả 1: Mình 100% tỉ lệ bỏ qua mọi sát thương</color>\nHiệu quả 2: Công +100000 điểm\n<color=#00ff00>Hiệu quả 3: Sát thương cố định+100000 điểm</color>\n</color><b><color=#FFD85D>Mỗi ngày hạn định: Liên tục 10s, Mỗi ngày có thể dùng 10 lượt</color></b>"
十字剑,Thập Tự Kiếm
雪球,Tuyết Cầu
三界道友共赴仙山，谈经论道，指点山河，争夺珍稀称号。,"Đạo hữu tam giới cùng diễn võ luận kiếm, tranh đoạt danh hiệu quý!"
使用后可以减少神域BOSS疲劳度1点，减少的疲劳度不能累积到第二天,"Dùng có thể giảm 1 điểm Độ Mệt Mỏi BOSS Thần Vực, Độ Mệt Mỏi giảm không thể tích lũy đến ngày thứ 2"
敖丙火龙魂,Ngao Bính Hỏa Long Hồn
对怪物造成888伤害,Với quái vật gây 888 sát thương
神龙圣印 19级,Thần Long Thánh Ấn Cấp 19
71周年,Kỷ Niệm 71 năm
圣洁纯白翼碎片,Mảnh Thánh Khiết Thuần Bạch Dực
神龙圣印 208级,Thần Long Thánh Ấn Cấp 208
祝福值,Điểm Chúc Phúc
南安,Nam An
梦幻极光,Cực Quang
<color=#00ff00>锻造5阶橙色2星以上<color=#ec8326>天神套装-鞋履</color>的材料</color>\n\n装备替换或转移套装至新装备时，不会损失套装石\n\n可在<color=#00ff00>【套装】</color>中使用,<color=#00ff00>Nguyên liệu rèn <color=#ec8326>Bộ Thiên Thần-Ngoa</color> 5 Giai Cam 2 Sao trở lên</color>\n\nThay đổi trang bị hoặc chuyển sang bộ mới vẫn bảo toàn Đá Bộ Đồ\n\nDùng tại <color=#00ff00>【Bộ Đồ】</color>
恭喜您被选中成为云购抽奖的幸运儿，这是您的奖励，请查收,"Chúc mừng bạn được chọn là người may mắn của Quay Thưởng Mua Chung, đây là thưởng của bạn, hãy đến nhận"
1.1件通用职业<color=#4cc1d6>6阶蓝色戒指</color>与1件通用职业<color=#f3ac58>7阶橙色2星戒指</color>可合成,1. 1 món <color=#4cc1d6>6 Giai Lam Giới</color> nghề thông dụng và 1 <color=#f3ac58>7 Giai Cam Giới 2 Sao</color> nghề thông dụng có thể hợp thành
使用后可激活与提升<color=#ff3b3b>雷罚刑镰</color>\n激活可加成：\n<color=#00ff00>战力+7200\n生命+6000\n攻击+300\n防御+120</color>\n\n分解后可获得<color=#00ff00>252</color>时装神兵精华，可提升时装神兵等级,"Kích hoạt và nâng cấp <color=#ff3b3b>Lôi Phạt Hình Liêm</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +7200\nHP +6000\nCông +300\nThủ +120</color>\n\nPhân giải nhận <color=#00ff00>252</color>Thời Trang Tinh Hoa Thần Binh, có thể thăng cấp Thần Binh Thời Trang"
打开道具后可选择一件<color=#00ff00>5阶红色2星装备</color>,Chọn 1 <color=#00ff00>5 Giai Đỏ Trang Bị 2 Sao</color>
1.3件女职业<color=#ff3b3b>12阶3星红装</color>+<color=#ff3b3b>元始圣石*9</color>可合成\n2.圣装可拆解，拆解无损失返还<color=#ff3b3b>元始圣石</color>与本职业红装（部位随机，不会返还项链/护符/戒指/手镯）,"1. 3 trang bị <color=#ff3b3b>12 Giai Đỏ 3 Sao</color> (Nữ)+<color=#ff3b3b>Nguyên Sử Thánh Thạch*9</color> có thể hợp thành\n2. Thánh Trang có thể phân tách, nhận về nguyên vẹn <color=#ff3b3b>Nguyên Sử Thánh Thạch</color> và Trang Bị Đỏ nghề đó (bộ vị ngẫu nhiên, không trả lại Hạng Liên/Hộ Phù/Giới Chỉ/Thủ Trạc)"
未来兵器,Binh Khí Tương Lai
使用后可激活图鉴<color=#00ff00>\n战力+15000\n生命+10000\n攻击+500\n防御+250\n破甲+250\n</color>\n同时集齐<color=#d77500>【云海·璇霄丹台】，【云海·仙音幻境】，【云海·雪瑶天宫】，【云海·兰宫霄阙】，【云海·幻世凌霄】，【云海·九千仞天】</color>可在<color=#00ff00>【绝世图鉴】</color>中激活绝世套装效果,"Kích hoạt Đồ Giám <color=#00ff00>\nChiến lực +15000\nHP +10000\nCông +500\nThủ +250\nPhá giáp +250\n</color>\nĐủ <color=#d77500>【Vân Hải·Tuyền Tiên Đan Đài】, 【Vân Hải·Tiên Âm Huyễn Cảnh】, 【Vân Hải·Tuyết Dao Thiên Cung】, 【Vân Hải·Lan Cung Tiêu Khuyết】, 【Vân Hải·Huyễn Thế Lăng Tiêu】, 【Vân Hải·Cửu Thiên Nhận Thiên】</color> có thể đến <color=#00ff00>【Tuyệt Thế Đồ Giám】</color> kích hoạt hiệu quả bộ Tuyệt Thế"
"【$1】阵营的BOSS已复活,请快速前往查看!","BOSS Trận Doanh 【$1】đã hồi sinh, mau đi xem!"
热火朝天,Nhiệt Hỏa Triều Thiên
<color=#ff3333>明日过期</color>,<color=#ff3333>Ngày Mai Hết Hạn</color>
紫月姬,Tử Nguyệt Cơ
"{""荆棘雷刃"",""荆棘雷刃"",""荆棘雷刃"",""荆棘雷刃""}","{""Kinh Cức Lôi Nhận"",""Kinh Cức Lôi Nhận"",""Kinh Cức Lôi Nhận"",""Kinh Cức Lôi Nhận""}"
可在元素宝石界面中进行镶嵌：<color=#00ff00>\n风属性攻击+129</color>,Khảm tại giao diện Nguyên Tố Bảo Thạch: <color=#00ff00>\nT.Tính Phong-Công +129</color>
使用后可以增加10点同心锁经验。,Dùng có thể tăng 10 điểm EXP Đồng Tâm Tỏa.
下载礼,Quà Tải Game
【法器】提升人物：\n生命+7820\n攻击+390\n防御+195\n破甲+195\n基础生命+4%,【Pháp Khí】Nhân vật tăng: \nHP +7820\nCông +390\nThủ +195\nPhá giáp +195\nHP C.Bản +4%
巽境守卫,Tốn Cảnh Thủ Vệ
<color=#FF8C00>获取途径：</color>\n<color=#00CCFF>【500级神兽参与奖励】</color>,<color=#FF8C00>Cách nhận: </color>\n<color=#00CCFF>【Thưởng Tham Gia Thần Thú Cấp 500】</color>
被动技能清风剑诀伤害提高30%,Sát thương của kỹ năng bị động Thanh Phong Kiếm Quyết tăng 30%
1.2件通用职业<color=#4cc1d6>6阶蓝色戒指</color>与2件通用职业<color=#f3ac59>7阶橙色2星戒指</color>、1件通用<color=#ff3b3b>7阶红色2星戒指</color>可合成,"1. 2 món <color=#4cc1d6>6 Giai Lam Giới</color> nghề thông dụng và 2 món <color=#f3ac59>7 Giai Cam Giới 2 Sao</color> nghề thông dụng, 1 <color=#ff3b3b>7 Giai Đỏ Giới 2 Sao</color> thông dụng có thể hợp thành"
"玩家<a href=player,$1,$2>[$2]</a>向金蟾虔诚献礼,获得了1000倍元宝奖励！<a href=gototype,6501>[前往查看]</a>","Người chơi <a href=player,$1,$2>[$2]</a> tặng quà cho Kim Thiềm Kiền Thành, nhận được thưởng KNB x1000! <a href=gototype,6501>[Vào Xem]</a>"
和之前阵营相同,Giống với trận doanh trước
累计连充,Tích Lũy Nạp Liên Tục
本仙盟的<color=#C700FFFF>[$1]$2</color>正在号召全体成员收听<color=#00FF37FF>仙盟频道</color>，是否马上响应？,"<color=#C700FFFF>[$1]$2</color> của Tiên Minh này đang hiệu triệu toàn thể thành viên lắng nghe <color=#00FF37FF>Kênh Tiên Minh</color>, có hưởng ứng ngay không?"
1.3件女职业<color=#ff3b3b>10阶3星红装</color>+<color=#ff3b3b>元始圣石*4</color>可合成\n2.圣装可拆解，拆解无损失返还<color=#ff3b3b>元始圣石</color>与本职业红装（部位随机，不会返还项链/护符/戒指/手镯）,"1. 3 trang bị <color=#ff3b3b>10 Giai Đỏ 3 Sao</color> (Nữ)+<color=#ff3b3b>Nguyên Sử Thánh Thạch*4</color> có thể hợp thành\n2. Thánh Trang có thể phân tách, nhận về nguyên vẹn <color=#ff3b3b>Nguyên Sử Thánh Thạch</color> và Trang Bị Đỏ nghề đó (bộ vị ngẫu nhiên, không trả lại Hạng Liên/Hộ Phù/Giới Chỉ/Thủ Trạc)"
"{""装备寻宝""}","{""Tầm Bảo Trang Bị""}"
夕阳如慕美人,Băng Liên
12阶红色装备,12 Giai Đỏ Trang Bị
会心几率+0.5%，攻击+250，破甲+250,"Tỷ Lệ Hội Tâm +0.5%, Công +250, Phá giáp +250"
"{""鱼龙变"",""鱼龙变"",""鱼龙变"",""鱼龙变""}","{""Ngư Long Biến"",""Ngư Long Biến"",""Ngư Long Biến"",""Ngư Long Biến""}"
今日剩余采集次数：$1,Số lượt Thu Thập còn lại hôm nay: $1
十六阶三星神圣装项链,16 Giai Thần Thánh Liên 3 Sao
真气防御+1500,Thủ Chân Khí +1500
星宿魅影,Tinh Túc Mị Ảnh
<color=#f460b3>11阶神装</color>,<color=#f460b3>11 Giai Thần Trang</color>
累计登录游戏3天,Tích đăng nhập ngày 3
提升主人4500点攻击,Tăng cho chủ nhân 4500 Công
打开道具后必定获得:<color=#00ff00>\n修为丹*3\n8阶BOSS经验丹*5\n初级面具源石*3</color>\n\n随机获得:<color=#00ff00>\n御雷真诀秘典碎片*1\n金刚不坏秘典碎片*1\n秘典残卷*1\n8阶红色装备*1\n8阶橙色装备*1</color>,Chắc chắn nhận: <color=#00ff00>\nTu Vi Đan*3\n8 Giai BOSS EXP Đan *5\nMặt Nạ Nguyên Thạch-Sơ*3</color>\n\nNgẫu nhiên nhận: <color=#00ff00>\nMảnh Lôi Chân Quyết Bí Điển*1\nMảnh Kim Cương Bất Hoại Bí Điển*1\nMảnh Bí Kíp*1\n8 Giai Đỏ Trang Bị*1\n8 Giai Cam Trang Bị*1</color>
门票不足，是否使用$1元宝购买门票\n<color=#00781f>（优先使用绑元）</color>,"Vé không đủ, có dùng $1 KNB mua vé\n<color=#00781f> (Ưu tiên KNB Khóa) </color>"
暗金汲魔镰,Ám Kim Cấp Ma Liêm
夺心箭,Đoạt Tâm Tiễn
恭喜获得四宠出战特权,Chúc mừng nhận Đặc Quyền Tứ Sủng Xuất Chiến
攻击时有几率对目标造成减速效果,Khi tấn công có tỉ lệ khiến mục tiêu giảm tốc
逆天影武士,Nguyệt Hồng
忘尘海,Vong Trần Hải
天谕,Thiên Dụ
达到5星激活,Đạt 5 sao kích hoạt
通关锁妖塔第40关,Thông quan Tỏa Yêu Tháp tầng 40
傅红雪出生,Phó Hồng Tuyết xuất hiện
神兽变身韧性,Dẻo Thần Thú Biến Thân
激活穿戴后可为神兽增加属性\n<color=#00c000>【属性加成】</color>\n战力+6000\n生命 +4000\n攻击 +200\n破甲 +100\n防御 +100\n\n<color=#00c000>附加特效</color>：激活后，本变身状态下伤害加深提升20%,"Mặc sau khi kích hoạt sẽ tăng thuộc tính Thần Thú\n<color=#00c000>【Thuộc tính】</color>\nChiến lực +6000\nHP +4000\nCông +200\nPhá giáp +100\nThủ +100\n\n<color=#00c000>Hiệu ứng thêm</color>: Sau khi kích hoạt, s.thg sâu tăng 20%"
青龙,Thanh Long
爆发混沌元素空间，使目标受到伤害增加12%，持续3秒，冷却时间60秒,"Bạo phát không gian nguyên tố hỗn độn, khiến sát thương mục tiêu nhận vào tăng 12%, liên tục 3s, thời gian CD 60s"
神王灵宝,Thần Vương Linh Bảo
士气鼓舞,Cổ Vũ Sĩ Khí
进行二次金蟾献礼,Tiến hành Kim Thiềm Hiến Lễ 2 lượt
在太虚秘境中鼓舞累计450次,Tại Thái Hư Bí Cảnh tích lũy cổ vũ 450 lượt
使用后可激活与提升气泡-<color=#ff3b3b>虎啸山林</color>\n激活可加成：\n<color=#00ff00>战力+5000\n生命+3000\n攻击+150\n防御+100\n破甲+100</color>,Kích hoạt và nâng cấp Khung Chat-<color=#ff3b3b>Chúa Sơn Lâm</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +5000\nHP +3000\nCông +150\nThủ +100\nPhá giáp +100</color>
[蓝]造化水晶,[Lam] Tạo Hóa Thủy Tinh
怀柔宝鉴,Hoài Nhu Bảo Giám
神王试炼(四十一),Thí Luyện Thần Vương 41
对周围5个目标造成875%伤害，并提升主人攻击15%，持续5秒，冷却40秒,"Với 5 mục tiêu xung quanh gây 875% sát thương. Và tăng cho chủ nhân công 15%, liên tục 5s, CD 40s"
1）活动开启期间，每天<color=#0ab521>晚上20:30</color>将在活动场景中进行<color=#0ab521>献礼活动</color>；\n2）献礼活动开始后，玩家可在活动场景中央宴会厅<color=#0ab521>享用年夜饭</color>，可在餐桌上<color=#0ab521>采集食物</color>获得奖励，同时为全服增加<color=#0ab521>过年气氛值</color>；\n3）过年气氛值满后，将在场景中的中央位置刷出<color=#0ab521>年兽</color>，玩家需要使用右下角技能栏上的<color=#0ab521>指定道具</color>对年兽造成伤害（本场景无法使用常规技能），使用道具除了可以对年兽造成伤害之外，还可以额外<color=#0ab521>获得道具中的奖励</color>；\n4）系统将记录每天活动期间全服玩家<color=#0ab521>对年兽造成的伤害</color>和活动期间对年兽造成的<color=#0ab521>伤害总值</color>，并在每天击杀年兽后发放<color=#0ab521>每日奖励</color>，在活动最后一天击杀年兽后发放<color=#0ab521>总伤害排行奖励</color>；\n5）年兽死亡后，活动场景中将持续刷出<color=#0ab521>宝箱怪</color>，持续到<color=#0ab521>24点</color>，可以使用同样的<color=#0ab521>攻击道具</color>击杀并获得奖励；\n6）不同的攻击道具可以造成<color=#0ab521>不同的伤害</color>，同时获得<color=#0ab521>不同的奖励</color>，道具可以通过<color=#0ab521>活动</color>、<color=#0ab521>采集年夜饭</color>、或者直接在<color=#0ab521>技能栏上购买</color>获得。,"1) Thời gian mở hoạt động, <color=#0ab521>20:30 tối</color> hàng ngày trong trường cảnh hoạt động tiến hành <color=#0ab521>hoạt động Hiến Lễ</color>; \n2) Sau khi mở hoạt động Hiến Lễ, người chơi trong trường cảnh hoạt động có thể <color=#0ab521>ăn Cơm Tất Niên</color> tạ Sảnh Tiệc Trung Ương, có thể <color=#0ab521>thu thập thức ăn</color> trên bàn tiệc nhận thưởng, đồng thời toàn server tăng <color=#0ab521>Điểm Không Khí Năm Mới</color>; \n3) Sau khi Điểm Không Khí Năm Mới đầy, vị trí trung tâm trường cảnh quét ra <color=#0ab521>Niên Thú</color>, tại mục kỹ năng góc dưới bên phải người chơi dùng <color=#0ab521>đạo cụ chỉ định</color> gây ra sát thương cho Niên Thú (trường cảnh này không thể dùng kỹ năng thông thường), Ngoài việc sử dụng đạo cụ để gây sát thương cho Niên Thú, còn có thể <color=#0ab521>nhận thêm thưởng trong đạo cụ</color>; \n4) Hệ thống sẽ ghi chép trong thời gian hoạt động <color=#0ab521>sát thương gây cho niên thú</color> của người chơi toàn server mỗi ngày và thời gian hoạt động <color=#0ab521>tổng sát thương</color> gây cho Niên Thú, và sau khi kích sát Niên Thú gửi <color=#0ab521>Thưởng Hàng Ngày</color>, vào ngày hoạt động cuối cùng kích sát Niên Thú gửi <color=#0ab521>thưởng xếp hạng tổng sát thương</color>; \n5) Sau khi Niên Thú tử vông, trong trường cảnh hoạt động sẽ liên tiếp quét ra <color=#0ab521>Quái Rương</color>, liên tiếp đến <color=#0ab521>24h</color>, có thể dùng <color=#0ab521>đạo cụ tấn công</color> tương tự kích sát và nhận thưởng; \n6) Đạo cụ tấn công khác nhau có thể gây ra <color=#0ab521>sát thương khác nhau</color>, đồng thời nhận <color=#0ab521>thưởng khác nhau</color>, đạo cụ có thể thông qua <color=#0ab521>hoạt động</color>, <color=#0ab521>thu thập Cơm Tất Niên</color>, hoặc nhận tại <color=#0ab521>mua trên mục kỹ năng</color>."
短衫草寇,Đoản Sam Thảo Khấu
使用后可激活与提升<color=#ff3b3b>玄黄镰</color>\n激活可加成：\n<color=#00ff00>战力+7200\n生命+6000\n攻击+300\n防御+120</color>\n\n分解后可获得<color=#00ff00>252</color>时装神兵精华，可提升时装神兵等级,"Kích hoạt và nâng cấp <color=#ff3b3b>Huyền Hoàng Liêm</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +7200\nHP +6000\nCông +300\nThủ +120</color>\n\nPhân giải nhận <color=#00ff00>252</color>Thời Trang Tinh Hoa Thần Binh, có thể thăng cấp Thần Binh Thời Trang"
不是本阵营的不能有任何操作,Không phải Trận Doanh này thì không thể thao tác
雷震尘嚣,Lôi Chấn Trần Hiêu
"{""日月神都"",""日月神都"",""日月神都"",""日月神都""}","{""Nhật Nguyệt"",""Nhật Nguyệt"",""Nhật Nguyệt"",""Nhật Nguyệt""}"
刀三十三阿,Thăng Long
合服活动：充值榜,Hoạt động gộp server: Bảng Nạp
提升主人15000点命中15000点闪避,"Tăng cho chủ nhân 15000 điểm Trúng, 15000 Né"
"只需要对着月光打开宝盒,大喊""般若波罗蜜"",就能时光倒流,回到未来.每次受到攻击时,都有2%的概率触发光环效果：""使500米内的所有友方玩家免疫100%伤害,造成的伤害提高150%"",同时免疫一切负面效果,持续10秒,15分钟内只能触发一次","Mỗi khi bị tấn công, đều có 2% tỉ lệ kích phát hiệu quả Quang Hoàn: ""Khiến mọi đồng đội trong 500 mét miễn dịch 100% sát thương, sát thương gây ra tăng 150%"", đồng thời miễn dịch tất cả hiệu quả bất lợi, liên tục 10s, trong 15ph chỉ được kích phát 1 lượt"
可在元素宝石界面中进行镶嵌：<color=#00ff00>\n雷属性抵抗+1.6%\n雷属性加成+1%\n附加减伤+5929</color>,Khảm tại giao diện Nguyên Tố Bảo Thạch: <color=#00ff00>\nT.Tính Lôi-Kháng+1.6%\nTăng T.Tính Lôi +1%\nTăng Giảm S.Thg +5929</color>
神兵总属性,Thuộc tính Thần Binh
游戏小助手,Trợ Lý
天界18件套,Thiên Giới 18 món
罕世良材，打造<color=#ff00d8>男三星神装</color>的材料\n\n可用于打造：\n<color=#ff00d8>上衣、发冠、下装\n护腕、鞋履、武器</color>,"Nguyên liệu rèn <color=#ff00d8>Thần Trang 3 Sao (Nam)</color>\n\nDùng để rèn: \n<color=#ff00d8>Y, Khôi, Khố\nOản, Ngoa, Vũ Khí</color>"
$1线,Tuyến $1
不是当天,Không phải trong ngày
龙宫宝库（精英）,Long Cung Bảo Khố (Tinh Anh)
杨戬8件套+10,Dương Tiễn 8 món+10
