亲爱的仙友，您有未领取的龙蛋上交奖励，请查收。,"Tiên hữu thân mến, bạn có thưởng nộp trứng rồng chưa nhận, vui lòng nhận."
迷阵一层,Mê trận tầng 1
"兑换失败, 该兑换码无效","Đổi thất bại, giftcode này vô hiệu"
\n\nlua对象数量: ,\n\nluaSố đối tượng:
对方未购买仙缘宝匣,Đối phương chưa mua Hộp Tiên Duyên
经脉激活8,Kích hoạt Kinh Mạch 8
程序猿又去摸鱼了！,Lập trình viên lại đi mò cá!
使用可激活图鉴<color='#95d12b'>“蓬莱仙境-叁”</color>,Dùng kích hoạt đồ giám <color='#95d12b'>“Bồng Lai Tiên Cảnh-3”</color>
激活经脉页of功法12,Công Pháp Kích hoạt Kinh Mạch 12
提升角色击穿抵抗<color='#01AB26FF'>4%</color>,Kháng Xuyên tăng <color='#01AB26FF'>4%</color>
640四象找回绑玉,640 Tứ Tượng Tìm Lại Ngọc Khóa
准备时间倒计时：%s,trang bị Thời gian Đếm ngược %s
使用可激活图鉴<color='#95d12b'>“秋风习习-叁”</color>,Dùng kích hoạt đồ giám <color='#95d12b'>“Thiên Phong Tập Tập-3”</color>
高爆魔王,Boss Tầm Bảo
 00:00 种植记录,00:00 lịch sử cây trồng
%s以下,%s trở xuống
祝福%s和%s岁岁如今朝，始知情义深。,"Chúc phúc %s cùng %s luôn như bây giờ, tình cảm sâu đậm."
在狂欢庆典-兑换商店中使用,Dùng trong Lễ Mừng-Tiệm Đổi
第900关,Ải 900
天神提升战力达到50000,Tăng chiến lực thiên thần 50000
好啊,Được
应援值:+,Điểm tiếp ứng:+
第431关,Ải 431
<color='#ff4b97'>国汉本汉</color>星级达到<color='#007f18'>4星</color>,<color='#ff4b97'>Đại Chùy Vương</color> đạt <color='#007f18'>4 sao</color>
孙北辰,Tôn Bắc Thần
<color='#007f18'>%s级</color>后解锁第<color='#007f18'>%s个</color>兽魂助战上限\n(等级达到后自动解锁),<color='#007f18'>Cấp %s </color>mở khóa <color='#007f18'>%s</color> giới hạn thú hồn trợ chiến \n(Đạt cấp tự động mở khóa)
使用激活<color='#95d12b'>天书五转肆篇</color>,Dùng kích hoạt <color='#95d12b'>Thiên Thư Trang 4 ngũ chuyển</color>
时装126,Thời Trang 126
转职任务移除的地方or主线任务>>>>>>>>>>,Chỗ xóa nhiệm vụ chuyển phái or nhiệm vụ chính>>>>>>>>>>
天神对相克目标伤害提高<color='#95d12b'>%s</color>,Sát thương Thiên Thần tạo cho mục tiêu tương khác tăng <color='#95d12b'>%s</color>
天神技能伤害增加<color='#95d12b'>10%</color>,Kỹ thương Thiên Thần tăng <color='#95d12b'>10%</color>
被占进度：,Tiến độ bị chiếm: 
宠物防御提高<color='#35ab6c'>45%</color>,Thủ sủng vật tăng <color='#35ab6c'>45%</color>
彩蛋抽奖,Quay Thưởng Thái Đản
脱离卡死(%sS),Hết lag (%sS)
<color='#ff4b97'>武圣关羽</color>神饰评级晋升到<color='#ff4b97'>SP</color>,<color='#ff4b97'>Võ Thánh Quan Vũ</color> Thần Sức thăng lên hạng <color='#ff4b97'>SP</color>
变身<color='#ffb400'>武圣关羽</color>时获得铜墙铁壁，受到伤害减少<color='#95d12b'>61%</color>,"Khi biến thân thành <color='#ffb400'>Võ Thánh Quan Vũ</color> nhận hiệu quả tường đồng vách sắt, thương tổn nhận giảm <color='#95d12b'>61%</color>"
「我欲乘风归去，又恐琼楼玉宇」,「Ta muốn cưỡi gió trở về nhưng sợ Quỳnh Lâu Ngọc Vũ」
在小说《侠客行》中，石破天的玄铁令是从那里得来的？,"Tại tiểu thuyết 《 Hiệp Khách Hành 》 Bên trong, Thạch Phá Thiên huyền thiết khiến là từ nơi đó được đến?"
超值必买、直购、运营活动、星辰召唤,"Siêu Khuyến Mãi không thể bỏ lỡ, mua trực tiếp, hoạt động vận hành, Triệu hồi Tinh Tú"
开启后随机获得十件<color='#95d19b'>神机装备</color>,Mở ngẫu nhiên nhận 10 <color='#95d19b'>Trang Bị Thần Cơ</color>
「凤箫声动，玉壶光转，一夜鱼龙舞。」,""" Phượng tiêu thanh động, ngọc hồ quang chuyển, nhất dạ ngư long vũ."""
炼乳牛奶沙冰,Sinh tố sữa đặc
外域杀手（十一）,Ngoại vực sát thủ ( Mười một )
您当前未用双人坐骑无法参与车牌拍卖,"Bạn chưa dùng Tọa Kỵ đôi, không thể tham dự đấu giá biển xe"
概率获得<color='#b759fa'>四象之灵</color>\n概率获得<color='#b759fa'>四象突破药水</color>\n概率获得<color='#b870fa'>变身卡</color>,Có thể nhận <color='#b759fa'>Hồn Tứ Tượng</color>\nCó thể nhận <color='#b759fa'>Thuốc Đột Phá Tứ Tượng</color>\nCó thể nhận <color='#b870fa'>Thẻ Biến Thân</color>
斩杀深渊魔王133次(<per>1/133</per>),Hạ BOSS Thâm Uyên 133 Lần (<per>1/133</per>)
仙界装备,Tiên giới trang bị
%s 掷出<color='#95d12b'>%s点</color>,%s Ném được <color='#95d12b'>%s Điểm </color>
帮帮段公子(&lt;per&gt;0/1&lt;/per&gt;),Giúp Đoàn công tử (&lt;per&gt;0/1&lt;/per&gt;)
攻击时，对目标造成<color='#95d12b'>265%</color>伤害，并附加<color='#95d12b'>【伤害降低】</color>效果，接下来的<color='#95d12b'>3</color>秒内，目标的伤害降低<color='#95d12b'>5%</color>。,"Công kích gây ra <color='#95d12b'>265%</color> sát thương kèm hiệu ứng <color='#95d12b'>[giảm sát thương]</color>, <color='#95d12b'>3</color> giây sau, sát thương của mục tiêu giảm <color='#95d12b'>5%</color>."
<color='#ffb400'>[仙级套装]</color>\n<color='#ffb400'>[圣级套装]</color>\n<color='#ffb400'>[神级套装]</color>,<color='#ffb400'>[Bộ đồ Tiên]</color>\n<color='#ffb400'>[Bộ đồ Thánh]</color>\n<color='#ffb400'>[Bộ đồ Thần]</color>
「我可是能将幻彩、暗金变炫黑金的仙石哦！」,"「Ta là Kim Thạch có thể biến Siêu Thần, Ám Kim thành Huyễn Hắc Kim! 」"
恋人吃苹果会削皮吗？,Người yêu ăn táo có gọt vỏ không?
神兵37,Thần Binh 37
攻击时，如果自身处于<color='#95d12b'>变身状态</color>，有<color='#95d12b'>65%</color>概率提高<color='#95d12b'>11%</color>连击率,"Khi công nếu bản thân ở <color='#95d12b'> trạng thái biến thân</color>, có <color='#95d12b'>65%</color> xác suất tăng <color='#95d12b'>11%</color> tỉ lệ liên kích"
国家记录,Kỷ lục quốc gia
对直线的<color=#007f18>3</color>个目标造成<color=#007f18>{#hurt_percent}</color>的伤害,Tạo cho <color=#007f18>3</color> mục tiêu đường thẳng <color=#007f18>{#hurt_percent}</color> sát thương
每<color='#95d12b'>10秒</color>回复玩家<color='#95d12b'>6%</color>的生命,Cứ <color='#95d12b'>10 giây</color> hồi phục cho người chơi<color='#95d12b'>6%</color> HP
提升角色生命回复值<color='#01AB26FF'>108000</color>,Giá trị hồi HP tăng <color='#01AB26FF'>108000</color>
补充,Thêm
受到玩家攻击时，给自身附加一个相当于自身生命<color='#95d12b'>1.4%</color>的生命护盾，每次吸收受到伤害的<color='#95d12b'>30%</color>，持续<color='#95d12b'>3</color>秒，生命护盾消失时，会触发致命一击，对目标造成相当于最后一次伤害的<color='#95d12b'>6.2%</color>反伤。,"Công kích người khác giúp bản thân tạo ra [Hộ thuẫn] tương đương <color='#95d12b'>1.4%</color> HP nhân vật, mỗi lần hấp thu <color='#95d12b'>30%</color> HP trong <color='#95d12b'>3</color> giây. Khi [Hộ thuẫn] biến mất sẽ thực hiện Nhất Kính Trí Mạng, phản lại sát thương tương đương <color='#95d12b'>6.2%</color> sát thương nhận cuối cùng."
3星4阶红色衣服,Y Phục Đỏ bậc 4 3 Sao
古道热肠（四）,Nhiệt tình (4)
魔王的名字啊,Tên Boss
「“一度被评为三界最神奇药水次名，喝了它会有意想不到的效果”」,"「“Từng được đánh giá là thần dược bậc nhất Tam Giới, uống vào sẽ có hiệu quả bất ngờ”」"
超强坐骑，冲榜必备。,"Tọa kỵ siêu mạnh, cần khi đua top."
开阳之路（十九）,Khai Dương Lộ (19)
金丹(八层),Kim Đan (Tầng 8)
激活湮灭神通,Kích hoạt Yên Diệt Thần Thông
四象背包已满,Túi Tứ Tượng đã đầy
无可穿戴的信物,Không thể dùng tín vật
神盔,Thần Khôi
冬季恋歌-足,Đông Quý Luyến Ca-Chân
放入装备的类型不合要求,Loại trang bị đặt vào không đạt yêu cầu
运势越好的仙盟成员更容易刷出高品质的宝箱,"Vận may Tiên Minh càng tốt, thành viên càng dễ được rương phẩm cao"
击败巡逻天兵(<per>0/100</per>) ,Hạ Tuần Tra Thiên Binh (<per>0/100</per>)
化形解锁,Mở khóa Hóa Hình
神饰-念珠EX,Thần Sức-Niệm Châu EX
本日防守积分：0,Điểm Thủ hôm nay: 0
猜拳赢了<color='#d24000'>赌徒鹤生</color>，回去找<color='#d24000'>游侠临淮</color>。,"Thắng <color='#d24000'>con bạc Hạc Sinh</color>, quay lại tìm <color='#d24000'>Du Hiệp Lâm Hoài</color>."
抵御修罗（五）,Phòng Thủ Tu La ( Năm )
前往%s刺探情报可获以下奖励：,Đến %s thám hiểm tình báo có thể nhận thưởng dưới: 
您的酒宴<color=#bb01c3>巡游仪式</color>已开启\n是否确认前往？,Nghi thức tuần hành <color=#bb01c3> của tiệc rượu </color> đã bắt đầu \n xác nhận đến?
在灵宠装备强化面板使用,Dùng trong giao diện cường hóa trang bị linh sủng
什么颜色品质的装备才可以上架市场拍卖?(1个字),Màu gì phẩm chất trang bị mới có thể lên khung thị trường đấu giá? (1 Cái chữ )
召唤物治疗效果提升[p_0_w]%,Hiệu quả trị liệu vật triệu hồi tăng [p_0_w]%
猴子请的救兵击败！,Viện binh do Khỉ mời đến đã bị đánh bại!
"同阶同部位饰品\n粉色5星1件 + 红色5星1件, 金色仙石*7, 粉色仙石*6","Trang sức cùng bậc cùng vị trí\n1 Hồng 5 sao + 1 Đỏ 5 sao, Tiên Thạch Vàng*7, Tiên Thạch Hồng*6"
参与云梦秘境1次(<per>1/1</per>),Tham gia Vân Mộng Bí Cảnh 1 Lần (<per>1/1</per>)
仙盟修炼技能提升10次,Nâng cấp kỹ năng tu luyện Tiên Minh 10 lần
紫藤普攻1,Tử Đằng Phổ công 1
鲲鲲56,Côn Côn 56
艾斯,Ngải Tư
神体降世-礼包二,Thần Thể Giáng Thế- Quà 2
刺探召集,Thám hiểm thu thập
真实伤害<color='#95d12b'>+750</color>,Sát thương thực <color='#95d12b'>+750</color>
写在纸上,Viết trên giấy
你们仙盟宝箱啥品质啊，求帮忙刷新一波,Tiên minh bảo đồ có j hấp dẫn ko?
乾坤阵为玩家吸收的伤害提升为<color='#007f18'>20%+5000</color>。,Càn Khôn Trận giúp sát thương người chơi hấp thu tăng <color='#007f18'>20%+5000</color>.
节日648元补充-第3日,Ngày lễ 648 Tiên Phiếu bù-Ngày 3
功法48,Tính Năng 48
城战图解,Thành chiến đồ giải
紫虚龙骨-柒,Tử Hư Long Cốt 7
5.<color='#ec0228'>极</color>，极属性克制所有五行跟光暗属性，同时五行跟光暗属性相生极属性,"5.<color='#ec0228'>Cực </color>, thuộc tính Cực khắc chế tất cả ngũ hành cùng thuộc tính Quang Ám, ngũ hành cùng thuộc tính Quang Ám tương sinh thuộc tính Cực"
风行灵豹,Phong Hành Linh Báo
对单个目标造成<color=#95D12B>130%</color>角色伤害,Tạo <color=#95D12B>130%</color> sát thương với 1 mục tiêu
激活%s解锁技能,Kích hoạt bậc %s mở khóa kỹ năng
羲和进行蓄力，蓄力<color='#95d12b'>2.5</color>秒后发出终极一击，对沿途目标造成{#hurt_percent}伤害，并击飞目标<color='#95d12b'>1秒</color>,"Hi Hòa tụ lực trong <color='#95d12b'>2.5</color> giây rồi xuất chiêu, mục tiêu trên đường bị {#hurt_percent} sát thương, đánh bay <color='#95d12b'>1 Giây </color>"
鲲鲲55,Côn Côn 55
全身6件装备强化200级(<per>1/7</per>),Mặc 6 Trang bị cường hóa 200 Cấp (<per>1/7</per>)
只闻味道那就已经让人垂涎三尺啦，这要吃起来岂不是人间极品了吗。,Mới ngửi mùi hương thôi đã rỏ rãi rồi. Món này được ăn chẳng phải là cực phẩm nhân gian sao.
魔海龙君,Ma Hải Long Quân
"想要免费进入魔王巢穴,至少要成为贵族几?(阿拉伯数字)","Muốn miễn phí tiến vào BOSS Sào Huyệt, ít nhất phải trở thành VIP mấy? ( Chữ số Ả rập )"
请先前往运势抽取今日心情，好的心情可以提升<color=#007f18>天神高品质圣装掉率</color>，是否前往,"Mời trước đến Vận thế rút ra hôm nay tâm tình, tốt tâm tình có thể tăng lên <color=#007f18>ngày Thần phẩm chất cao thánh trang tỉ lệ rớt </color>, phải chăng đến"
第129关,Ải 129
这是您昨天未领取的开宴奖励，已通过邮件补发，请查收,"Đây là thưởng mở tiệc hôm qua bạn chưa nhận, đã phát qua thư, hãy nhận"
看情感剧时会因为剧情变化而喜怒哀乐吗？,Lúc xem phim tình cảm có khóc không?
效果一,Hiệu quả 1
聚灵一次,Tụ Linh 1 lần
增加<color='#95d12b'>150</color>点灵宠升级经验,Tăng <color='#95d12b'>150</color> EXP tăng cấp Linh Sủng
再战魔尊,Tái chiến Ma Tôn
合成消耗：99/10,Ghép cần: 99/10
修罗试炼（二）,Tu La Thí Luyện ( Hai )
击杀%s只异域boss,Hạ %s Boss Dị Vực
乾坤道鲲达到30阶(<per>1/30</per>),Càn Khôn Đạo Côn đạt tới Bậc 30 (<per>1/30</per>)
助战·逍遥|助战·天南,Trợ Chiến·Tiêu Diêu|Trợ Chiến·Thiên Nam
给白烛对话,Đối thoại với Bạch Chúc
抽奖的这个神兵有点牛掰,Rút thưởng được thần binh bá đạo đấy
骨精灵,Cốt Tinh Linh
虎魂,Hổ Hồn
龙神吞噬,Nuốt chửng long thần
八卦曲琴,Bát Quái Khúc Cầm
感觉琴比较厉害,Cảm giác đàn rất lợi hại
错,Sai
克,Khắc
婚宴烟花,Pháo Hoa Tiệc Cưới
可在继承中为魂环注入魂灵<color='#95d12b'>橙-上品-重置冷却</color>,Thông qua kế thừa nhập Hồn Linh <color='#95d12b'>Cam-Thượng Phẩm-Cài lại thời gian hồi</color> vào Hồn Hoàn
峨嵋山,Núi Nga Mi
转职切换1,Đổi chuyển chức 1
龙女绫,Long Nữ Lăng
将造成伤害的<color='#95d12b'>36%</color>转化为自己的生命值,Chuyển hóa <color='#95d12b'>36%</color> sát thương thành HP
时装117,Thời Trang 117
<color='#007f18'>绿色</color>,<color='#007f18'>Lục</color>
1.仙界魔王为<color='#95d12b'>个人掉落</color>\n2.击杀魔王时，获得<color='#95d12b'>仙魂</color>\n3.<color='#95d12b'>仙魂</color>值满时将被仙魔主宰<color='#95d33b'>逐出场景</color>,1.Boss Tiên Giới đồ rơi là <color='#95d12b'>thuộc về cá nhân</color>\n2. Hạ Boss nhận <color='#95d12b'>Tiên Hồn</color>\n3.<color='#95d12b'>Giá trị Tiên Hồn</color> đầy sẽ bị chúa tể Tiên Ma kích<color='#95d73b'> ra khỏi bản đồ</color>
第203关,Ải 203
吃下香肠，体力飞涨，提升自己<color='#95d12b'>50%</color>的移动速度，持续<color='#95d12b'>5秒</color>,"Ăn hương tràng, thể lực tăng mạnh, bản thân tăng <color='#95d12b'>50%</color> tốc độ di chuyển, trong <color='#95d12b'>5s</color>"
520四象找回免费,520 Tứ Tượng Tìm Lại Miễn Phí
在限定时间内击败魔王即可获得掉落奖励！参与攻击魔王即可获得参与奖励,Đánh bại BOSS trong thời gian hạn định sẽ nhận được phần thưởng rơi ra! Tham gia đánh bại BOSS sẽ nhận phận thưởng tham gia
购买%s次特惠,Mua %s lần ưu đãi
<color='#ff4b97'>阿尔萨斯</color>神饰评级晋升到<color='#ff4b97'>EX</color>,<color='#ff4b97'>A Nhĩ Tát Tư</color> Thần Sức thăng lên hạng <color='#ff4b97'>EX</color>
<color='#f556e8'>太古</color>,<color='#f556e8'> thái cổ </color>
触发爆裂，对周围<color='#95d12b'>3个</color>敌方单位造成<color='#95d12b'>600%</color>的伤害，<color='#3be0f9'>若自身为天神状态下且品质高于主目标当前变身的天神时</color>，有<color='#95d12b'>70%</color>概率直接秒杀其天神状态，打回原形,"Kích hoạt nổ, tạo cho <color='#95d12b'>3</color> đơn vị địch <color='#95d12b'>600%</color> sát thương, <color='#3be0f9'>nếu bản thân trong trạng thái Thiên Thần và phẩm chất cao hơn mục tiêu chính, Thiên Thần bản thân đang biến thân</color> có <color='#95d12b'>70%</color> xác suất diệt ngay trạng thái Thiên Thần của kẻ đó, khiến hiện nguyên hình"
（p）观月的尸体上，发现了你的玉佩。证据确凿，你还有什么话可说？||（n）玉佩？！不可能，当晚我一早就被打晕过去，这一定是凶手顺走并想嫁祸于我！||（n）不是我做的事情，我绝对不会认！实话告诉你吧，我的确是魔教卧底，但我的计划还没实施，倚天剑就失窃了。||（n）至于玉佩……哼，这原本是魔教用来追踪叛徒的东西，只要碰上一下，就会沾上荧光粉末。凶手敢拿走玉佩，<color='#ff6000'>手上一定留有荧光</color>！,"(p) Trên thi thể Quan Nguyệt, phát hiện ngọc bội của ngươi. Chứng cứ rõ ràng, ngươi còn có gì để nói?||(n) Ngọc bội?! Không thể nào, tối đó ta đã bị đánh ngất đi, hắn nhất định là hung thủ muốn giá họa cho ta!||(n) Không phải do ta làm, ta tuyệt đối sẽ không nhận! Nói thật cho ngươi nghe, ta là nội ứng Ma giáo, nhưng kế hoạch của ta chưa thực hiện được, Ỷ Thiên Kiếm đã bị mất tích.||(n) Về phần ngọc bội...... Hừ, cái này vốn là Ma giáo dùng để truy tìm phản đồ, chỉ cần chạm vào nó, sẽ dính vào bột huỳnh quang. Hung thủ dám lấy đi, <color='#ff6000'> Trên tay nhất định có lưu huỳnh quang </color>!"
可合成侠客神器<color='#cfa94d'>凌烟扇</color>\n也可用于<color='#95d12b'>分解</color>,Có thể hợp thành hiệp khách thần khí <color='#cfa94d'>Lăng Yên Phiến </color>\nCũng có thể dùng để <color='#95d12b'>phân giải </color>
开一个,Mở một cái
前往试练,Đến thí luyện
12.5万元宝,12.5 vạn KNB
概率获得<color='#f556e8'>圣装粉晶</color>x1,Có thể nhận <color='#f556e8'>Thánh Trang Hồng Tinh</color>x1
神兵49,Thần Binh 49
未装备神甲,vị trang bị thần giáp
第798关,Ải 798
青龙之主,Thanh Long Chi Chủ
1.开服<color=#95d12b>第8~11日</color>，开启<color=#95d12b>多倍来袭</color>活动\n2.活动期间，参与指定日常活动玩法，部分奖励可<color=#95d12b>获得双倍掉率加成</color>\n    开服第8日：<color=#95d12b>幻灵境</color>\n    开服第9日：<color=#95d12b>情缘副本</color>\n    开服第10日：<color=#95d12b>聚宝阁</color>\n    开服第11日：<color=#95d12b>宠物谷</color>\n,"1.Sau khi mở server từ <color=#95d12b>ngày 8~11</color>, mở HĐ<color=#95d12b>Nhiều Lần Đột Kích</color>\n2.Trong thời gian HĐ, tham gia những hoạt động hàng ngày chỉ định，một số phần thưởng có thể<color=#95d12b>tăng gấp đôi tỉ lệ rơi ra</color>\n Mở server ngày thứ 8: <color=#95d12b>Huyễn Linh Cảnh</color>\n Mở server ngày thứ 9: <color=#95d12b>PB Tình Duyên</color>\n Mở server ngày thứ 10: <color=#95d12b>Tụ Bảo Các</color>\n Mở server ngày thứ 11: <color=#95d12b>Sủng Cốc</color>\n"
五轮塔,Ngũ Luân Tháp
九重仙境-叁,Cửa Trùng Tiên Cảnh-3
点亮12个仙龙之魂\n(<per>0/12</per>),Thắp sáng 12 Tiên Long Hồn\n(<per>0/12</per>)
吾须之魂,Ngô Tu Chi Hồn
激活兽魂-深海蛟龙,Kích hoạt Thú Hồn-Thâm Hải Giao Long
变身<color='#ffb400'>魔神吕布</color>时获得洪荒之力，造成伤害增加<color='#95d12b'>45%</color>,"Khi biến thân thành <color='#ffb400'>Ma Thần Lữ Bố</color> nhận được Hồng Hoang Lực, sát thương gây ra tăng <color='#95d12b'>45%</color>"
守护怎么升到最高啊？,Làm sao nâng max thủ hộ
红色铭文自选,Minh Văn Hồng tự chọn
使用可提升坐骑装备星级,Dùng tăng sao trang bị tọa kỵ
提供护盾，每<color='#95d12b'>12</color>秒免疫下一次<color='#95d12b'>沉默效果</color>,"Nhận được hộ thuẫn, mỗi<color='#95d12b'>12</color> giây miễn<color='#95d12b'> Trầm Mặc lần kế tiếp </color>"
红尘一杖·碎片,Hồng Trần Nhất Trượng (Mảnh)
出售 <per>0/1</per> 件4阶或以上红装,Bán <per>0/1</per> trang bị đỏ 4 giai trở lên
诸葛武侯,Gia Cát Võ Hầu
品质宝箱,Rương phẩm chất
使用可激活图鉴<color='#95d12b'>“冥域貔貅”</color>,"Dùng kích hoạt Đồ Giám <color='#95d12b'>""Minh Vực Tỳ Hưu""</color>"
富甲一方（十四）,Giàu Có Nhất Vùng ( Mười bốn )
使用%d绑玉召唤\n <color='#007f18'>(优先消耗绑玉)</color>,Sử dụng %d Tiên Ngọc Khóa triệu hồi \n<color='#007f18'>(Ưu tiên tiêu hao Tiên Ngọc Khóa)</color>
醉易,Túy Dịch
检查抽奖配置:,Kiểm tra cấu hình quay thưởng:
您不可协助自己,Không thể tự hỗ trợ
变身<color='#ffb400'>东皇太一</color>时获得铜墙铁壁，受到伤害减少<color='#95d12b'>56%</color>,"Khi biến thân thành <color='#ffb400'>Đông Hoàng Thái Nhất</color> nhận hiệu quả tường đồng vách sắt, thương tổn nhận giảm <color='#95d12b'>56%</color>"
(对天神增加伤害),(Tăng Sát Thương lên Thiên Thần)
"剑若惊鸿,天外飞仙,对沿途范围的{enemy_num|wanjiashu_jc}个目标造成<color='#007f18'>150%{+fix_hurt}</color>的伤害{skill_desc_1_1},如果是怪物,目标数量增加至{enemy_num_monster|guaiwushu_jc}个","Kiếm như kinh hồng, đối với {enemy_num|wanjiashu_jc} mục tiêu tạo thành<color='#007f18'>150%{+fix_hurt}</color> sát thương {skill_desc_1_1}, nếu mục tiêu là quái, số lượng mục tiêu tăng đến {enemy_num_monster|guaiwushu_jc}"
是否将召集信息分享到世界频道或仙盟频道？,Phải chăng đem triệu tập tin tức chia sẻ đến kênh thế giới hoặc tiên minh kênh?
心中有佛（三）,Trong lòng có Phật (3)
天勾神锁·精良,Thiên Câu Thần Tỏa·Tinh
天勾神锁·精良,Thiên Câu Thần Tỏa·Tinh
四月谎言-泡,Tứ Nguyệt Hoang Ngôn-Bóng
巨神血脉,Cự Thần Huyết Mạch
1.仙界魔王为<color='#95d12b'>个人掉落</color>\n2.击杀魔王时，获得<color='#95d12b'>仙魂</color>\n3.<color='#95d12b'>仙魂</color>值满时将被仙魔主宰<color='#95d20b'>逐出场景</color>,1.Boss Tiên Giới đồ rơi là <color='#95d12b'>thuộc về cá nhân</color>\n2. Hạ Boss nhận <color='#95d12b'>Tiên Hồn</color>\n3.<color='#95d12b'>Giá trị Tiên Hồn</color> đầy sẽ bị chúa tể Tiên Ma kích<color='#95d105b'> ra khỏi bản đồ</color>
持续到下次四国争霸活动开启前失效,Hiệu lực đến lần Tứ Quốc Tranh Bá kế tiếp
召唤犀角魔魈，对地面每秒锤击一次，每次对圆形范围内敌人造成<color='#007f18'>100%</color>技能伤害，同时为自身生成一个可抵挡<color='#007f18'>500%</color>技能伤害的护盾，持续<color='#007f18'>3s</color>.每参与击杀1只首领，增加<color='#007f18'>0.25%</color>技能伤害系数，单日<color='#007f18'>2.5%</color>，最高<color='#007f18'>75%</color>,"Triệu hồi Tê Giác Ma Tiêu, mỗi giây chùy kích 1 lần tới mặt đất, mỗi lần tạo cho địch phạm vi hình tròn <color='#007f18'>100%</color> kỹ thương, đồng thời tạo cho bản thân 1 khiên ngăn <color='#007f18'>500%</color> kỹ thương, trong <color='#007f18'>3 giây</color>. Mỗi khi tham gia hạ 1 thủ lĩnh, tăng <color='#007f18'>0.25%</color> hệ số kỹ thương, một ngày <color='#007f18'>2.5%</color>, tối đa <color='#007f18'>75%</color>"
绝道夜叉-元神,Tuyệt Đạo Dạ Xoa-Nguyên Thần
201服<color='#007f18'>那个男人</color>大神专属称号,Danh hiệu riêng
可用于开启<color='#95d12b'>桃花源居</color>宴席。,Dùng để mở<color='#95d12b'> Đào Hoa Nguyên Cơ </color>yến hội.
灿若繁星,Xán Nhược Phồn Tinh
提高<color='#007f18'>角色装备·仙链</color>基础属性<color='#007f18'>500%</color>。\n<color='#8a8c8e'>爱恨一念间，相逢泯恩仇。</color>,"Tăng thuộc tính cơ bản <color='#007f18'>tiên liên </color> <color='#007f18'>500%</color>.\n<color='#8a8c8e'> Yêu hận một ý niệm, gặp nhau khoái ân cừu</color>"
第二个物品星数,Số sao vật phẩm thứ 2
目前服务器拥挤，请稍后再尝试登录~,"Server quá tải, vui lòng đăng nhập lại sau"
温润如水,Ôn nhuận như thủy
第71关,Ải 71
神龙之骨-衣,Thần Long Chi Cốt-Áo
时装-脸饰57,Thời Trang-Diện Sức 57
幽冥鬼王,U Minh Quỷ Vương
神饰-玉佩B4,Thần Sức-Ngọc Bội B4
击败幽冥鬼使1/1,Hạ U Minh Quỷ Sứ 1/1
打开可从下列选择一件本职业<color='#ff5252'>二十阶红色3星装备</color>,Mở có thể nhận 1 trong các vật phẩm sau của chức nghiệp <color='#ff5252'>Trang Bị Đỏ bậc 20 3 Sao/color>
"当前淘汰赛<color='#007f18'>%s</color>阶段,竞猜截止:<color='#007f18'>%s</color>","Trước mắt đấu vòng loại <color='#007f18'>%s</color> Giai đoạn, cạnh đoán hết hạn:<color='#007f18'>%s</color>"
桃源仙客,Đào Nguyên Tiên Khách
释放月蚀时，变身增伤提高<color='#35ab6c'>156%</color>,"Khi sử dụng Nguyệt Thực, biến thân tăng sát thương lên <color='#35ab6c'>156%</color>"
变身<color='#ff6000'>广寒仙女</color>时获得铜墙铁壁，受到伤害减少<color='#95d12b'>35%</color>,"Khi biến thân thành <color='#ff6000'>Nghiễm Hàn Tiên Nữ</color> nhận hiệu quả tường đồng vách sắt, thương tổn nhận giảm <color='#95d12b'>35%</color>"
生命延续专属词条,Dòng kéo dài sinh mệnh
山海奇闻挑战客服妹子排名奖励,Thưởng xếp hạng Sơn Hải Kỳ Văn-Khiêu Chiến đội CSKH
#运镖结束协议9063#,#Thỏa thuận kết thúc vận tiêu 9063#
月下之舞,Nguyệt hạ chi vũ
落难书生,Gặp thư sinh gặp nạn
在打雷的时候我们会问到一点令人不愉快的臭味是？,Đang đánh lôi thời điểm chúng ta sẽ hỏi đến một điểm khiến người không vui mùi thối là?
提升真实防御<color='#01AB26FF'>9600</color>,Giáp Chuẩn tăng <color='#01AB26FF'>9600</color>
第839关,Ải 839
概率获得<color='#b759fa'>四象之灵</color>\n概率获得<color='#b759fa'>四象突破药水</color>\n概率获得<color='#b1076fa'>变身卡</color>,Có thể nhận <color='#b759fa'>Hồn Tứ Tượng</color>\nCó thể nhận <color='#b759fa'>Thuốc Đột Phá Tứ Tượng</color>\nCó thể nhận <color='#b1076fa'>Thẻ Biến Thân</color>
二转叁篇碎片-己,Mảnh chuyển 2 trang 3 - V
%s秒后结义仪式,%s Giây sau kết nghĩa nghi thức
宠物8,Sủng 8
